Documents,Sentiment
food panda sana all,positive
fully redeem na ba yan,negative
legit to thanks foodpanda,positive
bacolod city  next please loudly crying face,positive
sana meron din banda bulacan,positive
rizal naman pleading face,positive
grand central naman   lucena city please,positive
rizal pls,positive
pampanga next pleasee,positive
san jose del monte bulacan branch  kelan grinning face with sweat smiling face with smiling eyes books,positive
  marilao naman  sana next loudly crying face,positive
dumaguete city please ,positive
alicia  dios,positive
omggg gusto kong umiyak kasi parang araw araw  ako pupunta dyan loudly crying face loudly crying face,positive
 butuan city pls,positive
yehey thank you smiling face with smiling eyes red heart,positive
lagot  ngayon saken pag  namen,positive
please pampanga next loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face tired face tired face tired face tired face tired face,positive
open din kayo dito   roxas city capiz please ,positive
 bacoor when ,positive
bulacan pls smiling face with tear,positive
  sana iloilo city soon pleading face orange heart,positive
sarado  yan    thursday people have jobs some works  sayang benta niyo,positive
pampanga please ,positive
olongapo please pleading face,positive
  have  fully booked near you pleading face cabanatuan pls two hearts,positive
kkejajs sana may tgcf book pleading face red heart,positive
jomel ocsio halaaa hahahah pinalapit  sakin smiling face with hearts,positive
sta rosa city laguna pls,positive
legazpi branch when broken heart,positive
 wish you would open  branch here  robinsons tuguegarao city,positive
pampanga branch when weary face,positive
sjdm bulacan branch naman  ehe,positive
