Documents,Sentiment
bacolod city  next please loudly crying face,positive
sana meron din banda bulacan,positive
rizal naman pleading face,positive
grand central naman   lucena city please,positive
pampanga next pleasee,positive
san jose del monte bulacan branch  kelan grinning face with sweat smiling face with smiling eyes books,positive
  marilao naman  sana next loudly crying face,positive
alicia  dios,positive
dumaguete city please ,positive
omggg gusto kong umiyak kasi parang araw araw  ako pupunta dyan loudly crying face loudly crying face,positive
rizal pls,positive
yehey thank you smiling face with smiling eyes red heart,positive
lagot  ngayon saken pag  namen,positive
 butuan city pls,positive
 bacoor when ,positive
please pampanga next loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face tired face tired face tired face tired face tired face,negative
open din kayo dito   roxas city capiz please ,positive
  sana iloilo city soon pleading face orange heart,positive
  have  fully booked near you pleading face cabanatuan pls two hearts,positive
sarado  yan    thursday people have jobs some works  sayang benta niyo,positive
bulacan pls smiling face with tear,positive
olongapo please pleading face,positive
sta rosa city laguna pls,positive
pampanga please ,positive
kkejajs sana may tgcf book pleading face red heart,positive
jomel ocsio halaaa hahahah pinalapit  sakin smiling face with hearts,positive
 wish you would open  branch here  robinsons tuguegarao city,positive
legazpi branch when broken heart,positive
pampanga branch when weary face,positive
when pampanga branch loudly crying face,positive
